Date & Time,D: Sulphur Hexaflouride [ppm],Air Exchange [1/h],Dosage Given [Nl],7651 Flag,Monitor Flag,1403 Flag,Comment
2021-01-28 12:01:26,0.0296,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:01:59,0.0174,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:02:29,0.0107,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:02:59,0.0147,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:03:29,0.0107,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:03:59,0.0095,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:04:29,0.0096,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:04:59,0.0057,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:05:29,0.0073,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:05:59,0.0073,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:06:28,0.0073,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:06:58,0.0067,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:07:28,0.0102,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:07:58,0.0009,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:08:28,0.0038,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:08:58,0.0084,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:09:28,0.0067,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:09:58,0.0136,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:10:28,0.0109,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:10:58,0.0055,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:11:28,0.0061,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:11:58,0.0056,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:12:28,0.0092,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:12:58,0.0084,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:13:27,0.0096,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:13:57,0.0062,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:14:27,0.0082,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:14:57,0.0075,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:15:27,0.0087,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:15:57,0.0003,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:16:27,0.0107,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:16:57,0.0056,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:17:27,0.0041,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:17:57,0.0054,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:18:27,0.0066,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:18:57,0.0102,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:19:27,0.0006,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:19:57,0.0051,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:20:27,0.0059,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:20:57,0.0056,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:21:27,0.0063,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:21:57,0.0078,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:22:27,0.0027,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:22:57,0.0086,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:23:27,0.0081,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:23:57,0.0073,100000000000000000000000000000000,0,0,,,,
