Date & Time,D: Sulphur Hexaflouride [ppm],Air Exchange [1/h],Dosage Given [Nl],7651 Flag,Monitor Flag,1403 Flag,Comment
2021-01-27 11:31:26,0.0455,100000000000000000000000000000000,0,0,C,,,
2021-01-27 11:31:59,0.0492,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:32:29,0.0435,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:32:58,0.0368,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:33:27,0.0375,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:33:57,0.0409,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:34:26,0.0399,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:34:56,0.0388,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:35:26,0.0383,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:35:55,0.0419,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:36:25,0.0395,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:36:55,0.041,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:37:24,0.0399,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:37:54,0.0394,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:38:24,0.0357,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:38:53,0.0401,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:39:23,0.0404,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:39:52,0.0419,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:40:22,0.0402,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:40:52,0.0382,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:41:21,0.0397,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:41:51,0.0395,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:42:21,0.0421,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:42:50,0.0407,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:43:20,0.0466,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:43:50,0.0412,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:44:19,0.0441,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:44:49,0.0394,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:45:18,0.0443,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:45:48,0.0437,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:46:18,0.0404,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:46:47,0.0412,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:47:17,0.0429,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:47:47,0.0397,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:48:17,0.0418,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:48:46,0.0442,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:49:16,0.04,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:49:46,0.0366,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:50:15,0.0456,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:50:45,0.038,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:51:14,0.0443,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:51:44,0.0459,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:52:14,0.0402,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:52:43,0.039,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:53:13,0.0416,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:53:43,0.05,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:54:12,0.0394,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:55:14,0.044,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:55:44,0.0424,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:56:13,0.0438,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:56:43,0.0456,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:57:13,0.0357,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:57:42,0.0449,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:58:12,0.038,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:58:42,0.0422,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:59:11,0.0365,100000000000000000000000000000000,0,0,,,,
2021-01-27 11:59:41,0.0366,100000000000000000000000000000000,0,0,,,,
2021-01-27 12:00:11,0.0359,100000000000000000000000000000000,0,0,,,,
2021-01-27 12:00:40,0.0408,100000000000000000000000000000000,0,0,,,,
2021-01-27 12:01:10,0.0442,100000000000000000000000000000000,0,0,,,,
2021-01-27 12:01:40,0.0441,100000000000000000000000000000000,0,0,,,,
2021-01-27 12:02:10,0.0455,100000000000000000000000000000000,0,0,,,,
2021-01-27 12:02:39,0.0411,100000000000000000000000000000000,0,0,,,,
2021-01-27 12:03:09,0.0376,100000000000000000000000000000000,0,0,,,,
2021-01-27 12:03:38,0.0396,100000000000000000000000000000000,0,0,,,,
2021-01-27 12:04:08,0.0396,100000000000000000000000000000000,0,0,,,,
2021-01-27 12:04:38,0.0492,100000000000000000000000000000000,0,0,,,,
2021-01-27 12:05:08,0.039,100000000000000000000000000000000,0,0,,,,
