Date & Time,D: Sulphur Hexaflouride [ppm],Air Exchange [1/h],Dosage Given [Nl],7651 Flag,Monitor Flag,1403 Flag,Comment
2021-01-27 13:21:26,0.3188,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:21:59,0.3217,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:22:29,0.3055,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:22:58,0.2957,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:23:28,0.3071,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:23:57,0.3021,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:24:59,0.2862,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:25:29,0.2788,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:25:59,0.2765,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:26:28,0.2624,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:26:58,0.2578,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:27:27,0.2568,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:27:57,0.2391,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:28:26,0.2412,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:28:56,0.2091,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:29:26,0.176,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:29:56,0.1678,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:30:27,0.0867,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:30:57,0.0629,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:31:27,0.0619,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:31:57,0.023,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:32:27,0.025,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:32:57,0.0214,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:33:27,0.0132,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:33:56,0.0252,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:34:25,0.0252,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:35:00,0.0317,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:35:30,0.0266,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:35:59,0.0276,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:36:28,0.0256,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:37:00,0.0313,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:37:28,0.035,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:37:57,0.0359,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:38:28,0.0717,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:38:57,0.0498,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:39:26,0.0587,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:39:55,0.0825,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:40:25,0.089,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:40:53,0.0678,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:41:22,0.0525,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:41:51,0.0449,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:42:20,0.0612,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:42:49,0.0386,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:43:18,0.0435,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:43:48,0.0544,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:44:19,0.0428,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:44:49,0.0745,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:45:18,0.0827,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:45:48,0.0944,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:46:17,0.0844,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:46:46,0.0982,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:47:16,0.0832,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:47:46,0.0855,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:48:16,0.0847,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:48:45,0.0949,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:49:14,0.1154,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:49:43,0.2267,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:50:13,0.1049,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:50:42,0.9039,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:51:11,0.6154,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:51:40,1.5621,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:52:09,1.969,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:52:38,1.3377,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:53:07,1.5789,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:53:36,1.9468,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:54:05,5.4372,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:55:06,6.7357,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:55:34,8.9677,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:56:03,13.236,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:56:32,11.545,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:57:01,9.9245,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:57:30,8.6509,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:57:59,17.244,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:58:29,16.556,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:58:58,7.2283,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:59:28,16.858,100000000000000000000000000000000,0,0,,,,
2021-01-27 13:59:57,9.2498,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:00:26,8.4723,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:00:55,17.556,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:01:25,18.305,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:01:54,20.248,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:02:24,15.428,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:02:54,15.042,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:03:23,22.2,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:03:53,24.837,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:04:23,17.459,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:04:53,16.295,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:05:23,23.505,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:05:52,18.973,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:06:22,22.779,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:06:52,21.706,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:07:21,27.662,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:07:50,15.794,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:08:19,22.809,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:08:48,25.483,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:09:17,18.814,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:09:46,29.004,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:10:15,23.069,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:10:44,23.625,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:11:13,21.538,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:11:42,24.873,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:12:11,21.001,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:12:41,21.707,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:13:10,31.706,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:13:42,29.187,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:14:11,32.431,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:14:40,28.882,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:15:09,32.745,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:15:38,34.488,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:16:07,34.684,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:16:36,36.341,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:17:05,33.397,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:17:35,30.218,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:18:04,31.042,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:18:33,37.919,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:19:02,36.215,100000000000000000000000000000000,0,0,,,,
2021-01-27 14:19:31,38.539,100000000000000000000000000000000,0,0,,,,
