Date & Time,D: Sulphur Hexaflouride [ppm],Air Exchange [1/h],Dosage Given [Nl],7651 Flag,Monitor Flag,1403 Flag,Comment
2021-01-28 12:46:27,0.0155,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:47:00,0.0102,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:47:30,0.0097,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:48:00,0.0052,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:48:30,0.011,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:49:00,0.01,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:49:29,0.0067,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:49:59,0.0021,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:50:29,0.011,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:50:59,0.0019,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:51:29,0.0032,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:51:59,0.0007,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:52:29,0.0012,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:52:58,0.004,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:53:28,0.0027,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:53:58,0.0102,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:54:28,0.0038,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:54:58,0.0025,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:55:28,0.0072,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:55:57,0.0052,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:56:27,0.0017,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:56:57,0.0013,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:57:27,0.0045,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:57:56,0.2539,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:58:26,0.3715,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:58:56,0.3356,100000000000000000000000000000000,0,0,,,,
2021-01-28 12:59:26,0.1613,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:00:28,0.1647,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:00:58,0.149,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:01:28,0.1502,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:01:58,0.0924,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:02:28,0.0683,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:02:57,0.0625,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:03:27,0.0272,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:03:57,0.0284,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:04:27,0.044,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:04:57,0.0483,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:05:27,0.033,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:05:57,0.0081,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:06:26,0.0175,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:06:56,0.0187,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:07:26,0.013,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:07:56,0.0174,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:08:26,0.0204,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:08:56,0.0161,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:09:25,0.007,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:09:55,0.0099,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:10:25,0.0056,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:10:55,0.0085,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:11:25,0.0024,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:11:55,0.0024,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:12:25,0.0113,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:12:55,0.0142,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:13:25,0.0053,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:13:54,0.0109,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:14:24,0.0129,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:14:54,0.0059,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:15:24,0.0099,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:15:54,0.0122,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:16:24,0.0108,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:16:54,0.023,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:17:24,0.027,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:17:54,0.0131,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:18:23,0.0214,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:18:53,0.0163,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:19:23,0.0165,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:19:53,0.0234,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:20:23,0.0157,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:20:53,0.0273,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:21:22,0.0165,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:21:52,0.029,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:22:22,0.0184,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:22:52,0.0378,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:23:22,0.0263,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:23:52,0.0382,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:24:22,0.0307,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:24:52,0.0282,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:25:21,0.0427,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:25:51,0.0325,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:26:21,0.0446,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:26:51,0.0419,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:27:21,0.0373,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:27:50,0.0714,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:28:20,0.1474,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:28:50,0.063,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:29:20,0.115,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:30:17,0.107,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:30:47,0.0718,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:31:17,0.1263,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:31:47,0.2642,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:32:17,0.7753,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:32:46,0.4538,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:33:16,0.4334,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:33:46,0.05,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:34:16,0.1165,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:34:46,0.0445,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:35:16,0.1031,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:35:46,0.7227,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:36:15,0.6216,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:36:45,0.7972,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:37:15,0.4857,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:37:45,0.4017,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:38:15,0.2239,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:38:45,0.1844,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:39:15,0.3755,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:39:45,0.3468,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:40:15,0.1374,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:40:44,0.3285,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:41:14,0.8275,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:41:44,0.6728,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:42:14,0.0796,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:42:44,0.0587,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:43:14,0.2324,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:43:44,0.1371,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:44:14,0.2939,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:44:43,0.5122,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:45:13,0.5391,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:45:43,0.2654,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:46:13,0.2101,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:46:43,0.2211,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:47:13,0.1359,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:47:43,0.1769,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:48:13,0.2851,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:48:43,0.1551,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:49:13,0.3413,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:49:43,0.3266,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:50:12,0.6471,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:50:42,6.8404,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:51:12,13.798,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:51:42,2.9924,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:52:11,0.6856,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:52:41,0.3378,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:53:11,0.3093,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:53:41,0.1314,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:54:11,0.0972,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:54:41,0.0769,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:55:11,2.1894,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:55:40,18.413,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:56:10,28.278,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:56:40,50.023,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:57:10,8.7936,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:57:40,32.571,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:58:10,13.409,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:58:40,10.17,100000000000000000000000000000000,0,0,,,,
2021-01-28 13:59:10,52.792,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:00:12,33.986,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:00:42,42.608,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:01:12,30.651,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:01:42,49.008,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:02:11,51.464,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:02:41,17.591,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:03:11,5.8878,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:03:41,28.821,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:04:11,28.316,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:04:41,32.687,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:05:11,60.112,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:05:41,34.98,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:06:10,43.401,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:06:40,26.151,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:07:10,16.904,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:07:40,9.8358,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:08:10,20.773,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:08:40,1.7671,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:09:09,3.3165,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:09:39,2.6799,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:10:09,1.0634,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:10:39,0.728,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:11:09,0.744,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:11:39,11.271,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:12:09,32.053,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:12:39,15.877,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:13:09,16.073,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:13:38,13.332,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:14:08,7.1971,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:14:38,6.5552,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:15:08,4.8927,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:15:38,4.4882,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:16:08,6.2776,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:16:38,4.3855,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:17:07,3.9147,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:17:37,3.1098,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:18:07,1.4925,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:18:37,2.3962,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:19:07,2.0444,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:19:37,2.6098,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:20:07,5.7241,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:20:37,3.7485,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:21:07,3.5719,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:21:37,3.1193,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:22:06,5.8936,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:22:36,0.5601,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:23:06,0.391,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:23:36,0.258,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:24:06,0.1896,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:24:36,0.4023,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:25:06,0.9007,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:25:35,1.5016,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:26:05,2.2467,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:26:35,1.2331,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:27:05,3.2214,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:27:35,2.0639,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:28:05,1.0453,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:28:35,0.5608,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:29:04,0.5527,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:30:07,1.0695,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:30:37,1.105,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:31:07,0.4297,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:31:36,0.1276,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:32:06,0.224,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:32:36,0.1095,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:33:06,0.0922,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:33:36,0.065,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:34:05,0.0565,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:34:35,0.0443,100000000000000000000000000000000,0,0,,,,
2021-01-28 14:35:05,0.0487,100000000000000000000000000000000,0,0,,,,
