Date & Time,D: Sulphur Hexaflouride [ppm],Air Exchange [1/h],Dosage Given [Nl],7651 Flag,Monitor Flag,1403 Flag,Comment
2021-01-27 19:33:25,192.99,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:33:58,191.95,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:34:28,197.82,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:34:59,194.63,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:35:30,190.87,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:36:00,180.88,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:36:30,191.68,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:37:01,193.73,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:37:30,189.79,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:38:00,182.31,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:38:31,183.11,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:39:01,183.75,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:39:32,180.31,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:40:02,179.2,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:40:32,169.92,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:41:03,171.32,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:41:34,174.25,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:42:04,171.76,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:42:34,171.58,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:43:04,170.94,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:43:35,172.29,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:44:06,171.49,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:44:36,169.84,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:45:07,168.23,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:45:38,167.74,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:46:08,167.25,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:46:38,164.13,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:47:08,162.3,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:47:38,161.84,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:48:09,158.87,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:48:39,158.57,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:49:09,156.2,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:49:40,152.3,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:50:11,152.5,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:50:42,149.96,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:51:12,147.9,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:52:09,145.62,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:52:39,144.33,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:53:10,142.45,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:53:41,141.54,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:54:11,139.83,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:54:43,138.04,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:55:13,136.67,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:55:44,134.41,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:56:15,132.75,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:56:45,130.72,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:57:15,129.9,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:57:45,128.41,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:58:14,127.45,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:58:44,126.23,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:59:14,125.06,100000000000000000000000000000000,0,0,,,,
2021-01-27 19:59:44,123.86,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:00:13,122.85,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:00:43,122.11,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:01:13,120.61,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:01:43,119.63,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:02:12,118.87,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:02:42,117.42,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:03:12,114.56,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:03:42,113.04,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:04:12,114.29,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:04:42,112.79,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:05:12,112.02,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:05:42,111.42,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:06:12,110.84,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:06:42,109.9,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:07:12,109.21,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:07:41,108.53,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:08:11,107.26,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:08:41,106.02,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:09:11,104.7,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:09:41,104.57,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:10:11,103.21,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:10:41,101.84,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:11:11,101.46,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:11:40,100.82,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:12:10,99.502,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:12:40,99.466,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:13:10,98.966,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:13:40,98.025,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:14:10,97.028,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:14:40,96.507,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:15:09,95.818,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:15:38,95.267,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:16:08,94.646,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:16:37,94.055,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:17:07,92.514,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:17:36,92.213,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:18:06,91.245,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:18:36,90.727,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:19:06,89.8,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:19:35,89.72,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:20:05,88.702,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:20:35,87.603,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:21:05,87.226,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:22:07,85.56,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:22:37,84.462,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:23:07,83.212,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:23:37,82.418,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:24:07,81.752,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:24:37,81.471,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:25:07,80.317,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:25:36,79.319,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:26:06,78.886,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:26:36,78.298,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:27:06,78.069,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:27:36,77.241,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:28:06,76.697,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:28:36,75.729,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:29:05,74.876,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:29:35,74.135,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:30:05,73.618,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:30:35,73.288,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:31:05,72.088,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:31:35,71.692,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:32:05,70.873,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:32:35,70.259,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:33:04,69.147,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:33:34,68.928,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:34:04,68.868,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:34:34,68.199,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:35:04,67.093,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:35:34,66.268,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:36:04,65.41,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:36:34,64.988,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:37:03,64.492,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:37:33,63.946,100000000000000000000000000000000,0,0,,,,
2021-01-27 20:38:03,63.219,100000000000000000000000000000000,0,0,,,,
