Date & Time,D: Sulphur Hexaflouride [ppm],Air Exchange [1/h],Dosage Given [Nl],7651 Flag,Monitor Flag,1403 Flag,Comment
2021-01-27 15:40:59,0.0389,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:41:59,0.0257,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:42:58,0.0201,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:43:58,0.019,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:44:57,0.0154,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:45:57,0.0103,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:46:56,0.0146,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:47:56,0.0117,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:48:55,0.0149,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:49:55,0.0175,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:50:55,0.0145,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:51:55,0.0185,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:52:54,0.0036,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:53:54,0.0255,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:54:53,0.0125,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:55:53,0.0195,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:56:53,0.0096,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:57:53,0.0158,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:58:53,0.0131,100000000000000000000000000000000,0,0,,,,
2021-01-27 15:59:52,0.0097,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:00:52,0.0193,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:01:52,0.0155,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:02:52,0.0031,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:03:52,0.0109,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:04:52,0.012,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:05:52,0.0035,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:07:24,0.0072,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:08:23,0.0106,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:09:23,0.0051,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:10:23,0.0082,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:11:23,0.0082,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:12:22,0.0117,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:13:22,0.0039,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:14:21,0.0006,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:15:21,0.0106,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:16:20,0.0113,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:17:20,0.0127,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:18:20,0.0083,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:19:20,0.0087,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:20:19,0.0313,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:21:19,12.1,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:22:18,0.1115,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:23:18,0.003,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:24:17,0.0013,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:25:17,0.0013,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:26:16,0.0006,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:27:16,0.0096,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:28:15,0.0235,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:29:15,0.0085,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:30:14,0.0164,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:31:14,0.0086,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:32:13,0.011,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:33:13,0.0038,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:34:13,0.0091,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:35:12,0.0122,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:36:38,0.0028,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:37:38,0.0098,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:38:38,0.0005,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:39:37,0.0066,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:40:37,0.0125,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:41:37,0.0177,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:42:37,0.0039,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:43:36,0.0041,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:44:36,0.0022,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:45:35,0.0021,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:46:35,0.0055,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:47:34,0.01,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:48:34,0.0006,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:49:34,0.0067,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:50:33,0.0048,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:51:33,0.0043,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:52:32,0.0164,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:53:32,0.0222,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:54:31,0.0007,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:55:31,0.006,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:56:31,0.0041,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:57:31,0.0016,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:58:30,0.003,100000000000000000000000000000000,0,0,,,,
2021-01-27 16:59:30,0.0017,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:00:29,0.0086,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:01:29,0.0006,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:02:29,0.0048,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:03:29,0.0027,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:04:28,0.0019,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:05:27,0.0021,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:06:59,0.0112,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:07:59,0.0002,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:08:59,0.0057,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:09:59,0.0024,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:10:58,0.0004,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:11:58,0.0115,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:12:58,0.003,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:13:57,0.0088,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:14:57,0.0179,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:15:57,0.0018,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:16:56,0.0023,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:17:56,2.4551,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:18:56,0.0589,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:19:55,0.0041,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:20:55,0.1888,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:21:55,2.4585,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:22:55,44.917,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:23:54,15.11,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:24:54,2.4854,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:25:53,0.4314,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:26:53,0.0376,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:27:52,0.0797,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:28:52,0.0434,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:29:51,1.1081,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:30:51,0.142,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:31:50,0.0498,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:32:50,0.5728,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:33:49,0.0295,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:34:49,0.2619,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:35:49,0.0511,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:37:21,3.1777,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:38:21,17.794,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:39:20,0.0007,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:40:19,0.0021,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:41:19,0.012,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:42:19,0.0048,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:43:18,0,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:44:18,0.007,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:45:18,0.0067,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:46:17,0.0066,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:47:17,0.0051,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:48:16,0.0029,100000000000000000000000000000000,0,0,,,,
2021-01-27 17:49:16,0.0026,100000000000000000000000000000000,0,0,,,,
